category,sub_category,rule_title,rule_description
Booking Rules,Advance Reservation Period,General ARP - 60 Days,"The standard Advance Reservation Period (ARP) for Indian Railways is 60 days excluding the date of journey. Online general reservations open at 08:00 AM IST on the booking opening date. For intermediate stations, the booking date is calculated based on the train's departure from its originating station."
Booking Rules,Advance Reservation Period,Foreign Tourist ARP,"Foreign tourists can book railway tickets up to 365 days in advance of the journey date."
Booking Rules,Advance Reservation Period,Short Distance Trains ARP,"Certain day-time express and short-distance trains may have a shorter advance reservation period of 30 days instead of the standard 60 days."
Booking Rules,Tatkal Booking,Tatkal Booking Window - AC Classes,"Tatkal ticket booking for AC classes (1A, 2A, 3A, CC, 3E) opens at 10:00 AM IST, one day before the journey date. Aadhaar-linked OTP authentication is mandatory for online Tatkal bookings."
Booking Rules,Tatkal Booking,Tatkal Booking Window - Non-AC Classes,"Tatkal ticket booking for non-AC classes (Sleeper, Second Sitting) opens at 11:00 AM IST, one day before the journey date."
Booking Rules,Tatkal Booking,Tatkal Agent Restrictions,"Authorized IRCTC agents are barred from booking Tatkal tickets during the first 30 minutes of the booking window (10:00 AM – 10:30 AM for AC classes; 11:00 AM – 11:30 AM for non-AC classes)."
Booking Rules,Tatkal Booking,Tatkal Refund Policy,"Confirmed Tatkal tickets are non-refundable upon voluntary cancellation by the passenger. However, waitlisted Tatkal tickets that remain waitlisted after chart preparation are eligible for automatic refund as per standard rules."
Booking Rules,Ticket Types,Reserved Tickets,"Reserved tickets are booked in advance and guarantee a specific seat or berth. These can be booked online via IRCTC website/app or at railway PRS (Passenger Reservation System) counters."
Booking Rules,Ticket Types,Unreserved Tickets,"Unreserved tickets are for General (GN) class travel. They can be purchased at station counters, via ATVM (Automatic Ticket Vending Machines), or through the UTS (Unreserved Ticketing System) mobile app. They do not guarantee a specific seat."
Booking Rules,Ticket Types,Platform Tickets,"Platform tickets allow non-travelers to enter railway platforms to see off or receive passengers. They are valid for 2 hours from the time of issue. Cost ranges from Rs.10 to Rs.50 depending on the station. Entering a platform without a ticket is an offense punishable by penalty."
Booking Rules,Quotas,General Quota (GN),"The default quota for most passengers. The largest allocation of seats/berths in any train."
Booking Rules,Quotas,Tatkal Quota (TQ),"Emergency last-minute quota that opens one day before departure. Has additional premium charges over the base fare. Available in most classes except 1A on many trains."
Booking Rules,Quotas,Premium Tatkal Quota (PT),"Similar to Tatkal but with dynamic pricing. Fares increase based on demand. Available on select trains."
Booking Rules,Quotas,Ladies Quota (LD),"A quota reserved exclusively for female passengers traveling alone or with children below 12 years. Available on select trains."
Booking Rules,Quotas,Defence Quota (DF),"Reserved for serving defence personnel. Requires valid defence identity card and authorization."
Booking Rules,Quotas,Foreign Tourist Quota (FT),"A special quota reserved for foreign nationals and NRIs. Bookings can be made up to 365 days in advance. Payment accepted in foreign currency or equivalent."
Booking Rules,Quotas,Senior Citizen / Lower Berth Quota (SS),"A quota for senior citizens (men aged 60+ and women aged 58+) and persons with disabilities. Provides automatic allotment of lower berths subject to availability."
Booking Rules,Quotas,Yuva Quota (YU),"A quota for unemployed youth aged 15-45 years. Available on select trains at discounted rates."
Booking Rules,Quotas,Duty Pass Quota (DP),"Reserved for railway employees traveling on duty. Requires valid duty pass documentation."
Booking Rules,Quotas,Parliament House Quota (PH),"Reserved for Members of Parliament. Requires valid identification as a sitting MP."
Cancellation and Refund,Confirmed Tickets,Cancellation More Than 48 Hours Before Departure,"Flat cancellation charge per passenger applies. AC First/Executive Class: Rs.240, AC 2-Tier: Rs.200, AC 3-Tier/AC Chair Car: Rs.180, Sleeper Class: Rs.120, Second Class: Rs.60. Maximum refund is given."
Cancellation and Refund,Confirmed Tickets,Cancellation 48 to 12 Hours Before Departure,"25% of the total fare is deducted as cancellation charge, subject to the minimum flat cancellation charge applicable for the class."
Cancellation and Refund,Confirmed Tickets,Cancellation 12 to 4 Hours Before Departure,"50% of the total fare is deducted as cancellation charge, subject to the minimum flat cancellation charge applicable for the class."
Cancellation and Refund,Confirmed Tickets,Cancellation Less Than 4 Hours Before Departure,"No refund is admissible for confirmed tickets if not cancelled before 4 hours of scheduled departure. A TDR (Ticket Deposit Receipt) may be filed in exceptional circumstances."
Cancellation and Refund,RAC/Waitlisted Tickets,Auto-Cancellation of Waitlisted E-Tickets,"If an e-ticket remains fully waitlisted after the preparation of the final chart, it is automatically cancelled by the system and a full refund (minus clerkage charge) is processed to the original payment method."
Cancellation and Refund,RAC/Waitlisted Tickets,RAC Ticket Cancellation,"RAC tickets can be cancelled up to 30 minutes before the scheduled departure of the train. Flat cancellation charges apply as per the class of travel."
Cancellation and Refund,Train Cancellation,Full Refund on Train Cancellation,"If Indian Railways cancels a train, all passengers holding valid tickets are entitled to a full refund without any cancellation charges. No TDR filing is required."
Cancellation and Refund,Counter Tickets,Online Cancellation of Counter Tickets,"Counter tickets (booked at PRS counters) can be cancelled online if a valid mobile number was provided at the time of booking. Otherwise, they must be cancelled at a PRS counter within the permitted time limits."
Travel Classes,AC First Class (1A),AC First Class Description,"The most premium and expensive class in Indian Railways. Features private cabins with 2 or 4 berths with lockable doors, providing maximum privacy and comfort. Bedding, meals, and individual charging points are included. Coaches are fully air-conditioned."
Travel Classes,AC 2-Tier (2A),AC 2-Tier Description,"Comfortable overnight AC travel class with open bays. Each bay has 4 berths (2 lower, 2 upper) plus 2 side berths. Each berth has a privacy curtain, reading light, and charging point. Bedding is provided."
Travel Classes,AC 3-Tier (3A),AC 3-Tier Description,"A popular medium-budget AC class. Each bay has 6 berths (2 lower, 2 middle, 2 upper) plus 2 side berths. Air-conditioned with bedding provided. Charging points available."
Travel Classes,AC 3 Economy (3E),AC 3 Economy Description,"Similar to AC 3-Tier but more economical. Each bay has 6 berths plus 2 side berths (middle berth on the side as well, making 9 berths per section in some configurations). Available on newer trains."
Travel Classes,AC Chair Car (CC),AC Chair Car Description,"Air-conditioned seating class primarily used for shorter day journeys. Features comfortable reclining seats arranged in rows. Available on Shatabdi, Jan Shatabdi, and Vande Bharat Express trains."
Travel Classes,Executive Chair Car (EC),Executive Chair Car Description,"Premium seating class with more spacious and comfortable seats than CC. Available on select premium trains like Shatabdi Express and Vande Bharat Express. Includes complimentary meals on some trains."
Travel Classes,Sleeper Class (SL),Sleeper Class Description,"The most common non-AC class for overnight travel. Budget-friendly with 8 berths per bay (same layout as 3A but without air conditioning). No bedding provided. Fans and windows for ventilation."
Travel Classes,Second Sitting (2S),Second Sitting Description,"The most economical reserved seating class. Non-AC with basic seats. Primarily used for short-distance day travel. Available on select trains."
Travel Classes,General / Unreserved (GN),General Class Description,"The most basic and cheapest way to travel on Indian Railways. Tickets are unreserved and do not guarantee a specific seat. Coaches are typically at the front and rear of the train."
Travel Classes,Vistadome AC (EV),Vistadome AC Description,"Air-conditioned glass-roofed coaches offering panoramic views. Available on scenic routes. Features rotatable seats and large observation windows on the roof and sides."
Luggage Rules,Free Allowance,AC First Class Luggage,"AC First Class (1A) passengers are allowed 70 kg of luggage free of charge. Maximum limit with extra charge is 150 kg."
Luggage Rules,Free Allowance,AC 2-Tier / First Class Luggage,"AC 2-Tier (2A) and First Class (FC) passengers are allowed 50 kg of luggage free of charge. Maximum limit with extra charge is 100 kg."
Luggage Rules,Free Allowance,AC 3-Tier / AC Chair Car Luggage,"AC 3-Tier (3A) and AC Chair Car (CC) passengers are allowed 40 kg of luggage free of charge. Maximum limit with extra charge is 40 kg."
